City_ID,City,Country,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Current Description
1376,svetlyy,RU,54.675,20.1347,41,75,40,13.42,scattered clouds
1377,port hawkesbury,CA,45.6169,-61.3485,39.2,93,90,9.22,fog
1378,zasosna,RU,50.6307,38.3965,35.37,84,2,1.77,clear sky
1379,takoradi,GH,4.8845,-1.7554,79.11,89,54,6.15,broken clouds
1380,washougal,US,45.5826,-122.3534,57.2,28,75,8.05,broken clouds
1381,fenoarivo,MG,-18.933,47.4354,60.8,100,40,4.61,scattered clouds
1382,uyuni,BO,-20.4597,-66.825,51.37,43,98,11.16,overcast clouds
1383,beaver dam,US,43.4578,-88.8373,62.01,39,75,6.91,broken clouds
1384,belaya gora,RU,68.5333,146.4167,7.07,84,100,8.16,overcast clouds
1385,mopipi,BW,-21.1833,24.8833,68.88,62,0,7.31,clear sky
1386,puerto rondon,CO,6.2805,-71.1,81,66,100,2.64,overcast clouds
1387,lincoln,US,40.8,-96.667,77,33,1,16.11,clear sky
1388,mitchell,US,43.7094,-98.0298,71.6,20,1,10.36,clear sky
1389,kaseda,JP,31.4167,130.3167,62.6,59,20,6.91,few clouds
1390,yurga,RU,55.7231,84.8861,26.56,84,100,7.54,overcast clouds
1391,aripuana,BR,-9.1667,-60.6333,72.3,98,100,1.81,overcast clouds
1392,denpasar,ID,-8.65,115.2167,84.2,79,20,4.61,few clouds
1393,xinyu,CN,27.8043,114.9334,57.04,73,99,5.53,light rain
1394,livingston,GB,55.9029,-3.5226,33.8,64,90,9.22,overcast clouds
1395,ziri,SI,46.0422,14.1072,37,68,19,1.95,few clouds
1396,caracuaro,MX,19.0106,-101.1264,83.7,33,14,4.09,few clouds
1397,fare,PF,-16.7,-151.0167,81.77,76,11,14.97,few clouds
1398,kiama,AU,-34.6833,150.8667,78.01,78,75,11.5,broken clouds
1399,tiznit,MA,29.5833,-9.5,54.88,85,65,3.13,broken clouds
1400,gigmoto,PH,13.7796,124.39,84.42,62,46,7.56,scattered clouds
1401,ariquemes,BR,-9.9133,-63.0408,72.9,98,100,0.54,light rain
1402,mitu,CO,1.1983,-70.1733,72.21,97,100,1.63,heavy intensity rain
1403,herat,AF,34.5,62,39.2,65,0,8.97,clear sky
1404,roma,US,43.2128,-75.4557,42.8,56,1,6.91,clear sky
1405,pemberton,CA,50.3164,-122.8027,44.6,36,40,1.41,scattered clouds
1406,nagtipunan,PH,16.2167,121.6,82.81,62,91,4.38,overcast clouds
1407,nyuksenitsa,RU,60.4128,44.2397,27.7,95,98,8.03,overcast clouds
1408,sri aman,MY,1.2376,111.4621,80.6,89,20,2.3,few clouds
1409,winneba,GH,5.3511,-0.6231,82.4,89,40,10.36,scattered clouds
1410,yangambi,CD,0.8102,24.4336,69.3,98,100,1.12,light rain
1411,san juan de los lagos,MX,21.25,-102.3,75.2,16,90,13.8,overcast clouds
1412,humboldt,US,40.6665,-123.9178,53.01,87,90,8.05,overcast clouds
1413,tungor,RU,53.3808,142.9564,24.42,59,1,10.8,clear sky
1414,lisala,CD,2.15,21.5167,71.76,87,94,2.75,overcast clouds
1415,agalatovo,RU,60.2195,30.2739,37.99,60,98,15.19,overcast clouds
1416,sangar,RU,63.9242,127.4739,-3.89,92,100,4.34,overcast clouds
1417,severnoye,RU,56.3491,78.3619,29.07,85,100,10.16,overcast clouds
1418,nago,JP,26.5881,127.9761,71.6,56,20,18.41,few clouds
1419,san jose,US,37.3394,-121.895,62.01,58,75,12.66,broken clouds
1420,saint-leu,RE,-21.15,55.2833,77,69,0,5.75,clear sky
1421,chivilcoy,AR,-34.8957,-60.0167,66.99,66,26,8.01,scattered clouds
1422,ciudad bolivar,VE,8.1222,-63.5497,79.02,78,100,8.63,overcast clouds
1423,rochegda,RU,62.8,43.25,30.87,94,100,9.28,overcast clouds
1424,tutoia,BR,-2.7619,-42.2744,78.76,86,97,11.63,overcast clouds
1425,lucea,JM,18.451,-78.1736,78.8,69,20,5.75,few clouds
1426,el tigre,VE,8.8875,-64.2454,76.03,78,100,10.36,overcast clouds
1427,klyuchi,RU,52.2667,79.1667,31.46,73,91,10.04,overcast clouds
1428,babushkin,RU,51.7122,105.8647,34.07,88,99,5.64,overcast clouds
1429,espana,PH,12.3841,122.499,82.78,63,13,5.23,few clouds
1430,conde,BR,-7.2597,-34.9075,78.8,89,20,6.91,few clouds
1431,tacuarembo,UY,-31.7333,-55.9833,70.74,67,98,6.29,overcast clouds
1432,turbat,PK,26.0023,63.044,77.02,56,0,2.42,clear sky
1433,aksarka,RU,66.5606,67.7975,26.04,97,100,6.51,light snow
1434,laurel,US,39.0993,-76.8483,60.01,29,1,5.75,clear sky
1435,tupik,RU,54.4253,119.9327,31.73,56,12,13.24,few clouds
1436,galveston,US,29.3669,-94.9669,68,77,1,11.5,clear sky
1437,djambala,CG,-2.5447,14.7533,68.97,93,100,1.86,moderate rain
1438,kloulklubed,PW,7.0419,134.2556,86,74,75,9.22,broken clouds
1439,adre,TD,13.4667,22.2,73.62,13,4,14.56,clear sky
1440,broken hill,AU,-31.95,141.4333,75.2,43,0,13.8,clear sky
1441,puruliya,IN,23.3333,86.3667,80.22,43,0,4.72,clear sky
1442,kuah,MY,6.3265,99.8432,84.2,84,20,3.44,few clouds
1443,hulan ergi,CN,47.2042,123.6333,57.42,25,73,16.37,broken clouds
1444,butajira,ET,8.1167,38.3667,60.33,54,28,7.11,scattered clouds
1445,mumford,GH,5.2618,-0.759,79.75,88,44,8.46,scattered clouds
1446,rehoboth,NA,-23.3167,17.0833,70.41,39,14,2.24,few clouds
1447,illapel,CL,-31.6308,-71.1653,62.96,86,40,0.49,scattered clouds
1448,puerto penasco,MX,31.3167,-113.5333,75,57,30,3,scattered clouds
1449,anta,IN,25.15,76.3,82.78,14,10,4.63,clear sky
1450,shingu,JP,33.7333,135.9833,59,63,75,25.32,broken clouds
1451,peru,US,40.7537,-86.0689,63,48,1,5.75,clear sky
1452,diapaga,BF,12.0708,1.7889,82.45,9,1,5.93,clear sky
1453,orcopampa,PE,-15.2661,-72.3417,43.23,96,100,4.05,overcast clouds
1454,koshurnikovo,RU,54.1667,93.3,28.63,77,65,2.71,broken clouds
1455,erzin,TR,36.9559,36.2,59,83,28,4.09,scattered clouds
1456,mujiayingzi,CN,42.1167,118.7833,56.89,13,99,12.62,overcast clouds
1457,wenchi,GH,7.7392,-2.1046,77,78,100,6.98,overcast clouds
1458,wamba,NG,8.9333,8.6,78.73,17,6,4.23,clear sky
1459,naliya,IN,23.2667,68.8333,78.48,71,0,7.67,clear sky
1460,bansang,GM,13.4333,-14.65,80.51,36,94,6.85,overcast clouds
1461,kirovskiy,RU,45.0917,133.5136,49.57,27,0,9.19,clear sky
1462,mamou,GN,10.5,-12,74.8,57,65,2.77,broken clouds
1463,adet,ET,11.2644,37.4888,65.37,52,99,6.4,overcast clouds
1464,wonthaggi,AU,-38.6044,145.5913,64.99,66,50,6.82,scattered clouds
1465,sayansk,RU,54.1088,102.1648,31.78,90,92,0.87,overcast clouds
1466,huesca,ES,42.1362,-0.4087,39.99,87,0,2.3,clear sky
1467,seydi,TM,39.4816,62.9137,50.31,49,0,3.51,clear sky
1468,lazaro cardenas,MX,17.9583,-102.2,76.62,68,74,5.91,broken clouds
1469,anchorage,US,61.2181,-149.9003,42.01,56,20,14.97,few clouds
1470,diffa,NE,13.3154,12.6113,76.93,12,0,10.07,clear sky
1471,oriximina,BR,-1.7656,-55.8661,75.13,94,59,2.77,broken clouds
