City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
0,Mataura,100,NZ,2021-04-03 01:07:17,67,-46.1927,168.8643,57.0,8.01
1,Egvekinot,100,RU,2021-04-03 01:09:19,87,66.3167,-179.1667,-1.79,17.94
2,Grindavik,90,IS,2021-04-03 01:08:24,100,63.8424,-22.4338,42.8,18.41
3,Albany,62,US,2021-04-03 01:05:47,30,42.6001,-73.9662,36.0,4.0
4,Vaini,75,TO,2021-04-03 01:07:18,79,-21.2,-175.2,84.2,8.05
5,Jamestown,1,US,2021-04-03 01:05:40,68,42.097,-79.2353,30.99,11.5
6,Ixtapa,75,MX,2021-04-03 01:09:20,69,20.7,-105.2,77.0,4.61
7,Barrow,1,US,2021-04-03 01:08:10,70,71.2906,-156.7887,-11.2,4.61
8,Monywa,15,MM,2021-04-03 01:09:20,27,22.1167,95.1333,84.54,8.32
9,Jalor,0,IN,2021-04-03 01:09:21,12,25.35,72.6167,72.54,5.1
10,Pitimbu,0,BR,2021-04-03 01:09:21,94,-7.4706,-34.8086,77.0,5.75
11,Anloga,20,GH,2021-04-03 01:09:21,89,5.7947,0.8973,82.4,9.22
12,Hermanus,100,ZA,2021-04-03 01:07:39,66,-34.4187,19.2345,63.0,8.01
13,Tutoia,51,BR,2021-04-03 01:09:22,85,-2.7619,-42.2744,78.87,7.52
14,Flin Flon,8,CA,2021-04-03 01:09:22,79,54.7682,-101.865,34.66,9.35
15,Victoria,1,HK,2021-04-03 01:04:42,76,22.2855,114.1577,82.0,1.01
16,Cabedelo,0,BR,2021-04-03 01:09:16,94,-6.9811,-34.8339,77.0,5.75
17,Hobart,0,AU,2021-04-03 01:06:16,21,-42.8794,147.3294,84.99,19.57
18,Boddam,20,GB,2021-04-03 01:09:23,81,57.4667,-1.7833,43.0,10.36
19,Bathsheba,75,BB,2021-04-03 01:07:17,61,13.2167,-59.5167,78.8,18.41
20,Ushuaia,75,AR,2021-04-03 01:07:22,81,-54.8,-68.3,46.4,13.8
21,Trindade,75,BR,2021-04-03 01:04:24,83,-16.6494,-49.4889,71.6,9.22
22,Punta Arenas,90,CL,2021-04-03 01:07:29,93,-53.15,-70.9167,44.6,6.91
23,Ponta Delgada,75,PT,2021-04-03 01:09:24,94,37.7333,-25.6667,60.8,18.41
24,Kaitangata,100,NZ,2021-04-03 01:08:57,59,-46.2817,169.8464,55.99,5.01
25,Pisco,0,PE,2021-04-03 01:09:24,73,-13.7,-76.2167,69.8,5.75
26,East London,23,ZA,2021-04-03 01:07:28,80,-33.0153,27.9116,61.99,12.97
27,Kralendijk,20,BQ,2021-04-03 01:09:24,83,12.15,-68.2667,78.8,17.27
28,Kyaikkami,100,MM,2021-04-03 01:09:25,69,16.08,97.5675,82.33,3.49
29,Somerset,1,US,2021-04-03 01:09:25,28,40.5668,-74.5496,37.4,10.36
30,Khatanga,5,RU,2021-04-03 01:07:46,91,71.9667,102.5,-19.86,4.52
31,Flinders,0,AU,2021-04-03 01:09:25,63,-34.5833,150.8552,78.01,3.0
32,New Norfolk,0,AU,2021-04-03 01:07:25,21,-42.7826,147.0587,84.99,5.99
33,Osa,77,RU,2021-04-03 01:09:26,84,57.2829,55.4567,30.34,11.27
34,Avarua,56,CK,2021-04-03 01:07:18,74,-21.2078,-159.775,84.2,12.66
35,Matara,90,LK,2021-04-03 01:09:26,87,5.9485,80.5353,79.27,9.33
36,Rikitea,47,PF,2021-04-03 01:06:20,74,-23.1203,-134.9692,77.85,10.56
37,Chokurdakh,92,RU,2021-04-03 01:07:21,97,70.6333,147.9167,-5.78,1.05
38,Virtsu,18,EE,2021-04-03 01:09:27,82,58.5716,23.5115,33.01,5.99
39,Thompson,20,CA,2021-04-03 01:07:14,45,55.7435,-97.8558,44.6,17.27
40,Torbay,90,CA,2021-04-03 01:05:28,100,47.6666,-52.7314,39.2,10.36
41,Hilo,40,US,2021-04-03 01:07:03,57,19.7297,-155.09,80.6,9.22
42,Sigli,98,ID,2021-04-03 01:08:56,70,5.3848,95.9609,79.61,4.12
43,Pioner,90,RU,2021-04-03 01:09:28,86,55.3166,85.9508,30.2,13.42
44,Atuona,48,PF,2021-04-03 01:07:40,79,-9.8,-139.0333,80.73,14.0
45,Puerto Ayora,100,EC,2021-04-03 01:07:37,94,-0.7393,-90.3518,77.0,4.0
46,Laizhou,100,CN,2021-04-03 01:09:28,90,37.1717,119.9214,43.29,25.03
47,Busselton,66,AU,2021-04-03 01:07:24,78,-33.65,115.3333,64.0,1.01
